data,codneg,pre_abe,pre_ult,target
2023-01-02,PETR4,23.54,22.92,0
2023-01-03,PETR4,22.94,22.34,0
2023-01-04,PETR4,21.96,23.05,1
2023-01-05,PETR4,23.34,23.88,1
2023-01-06,PETR4,23.94,23.74,0
2023-01-09,PETR4,23.5,23.87,1
2023-01-10,PETR4,23.95,24.09,1
2023-01-11,PETR4,24.15,24.28,1
2023-01-12,PETR4,24.29,24.63,1
2023-01-13,PETR4,24.44,24.57,1
2023-01-16,PETR4,24.41,24.04,0
2023-01-17,PETR4,24.11,25.52,1
2023-01-18,PETR4,25.84,25.07,0
2023-01-19,PETR4,25.0,25.83,1
2023-01-20,PETR4,25.89,26.37,1
2023-01-23,PETR4,26.27,26.79,1
2023-01-24,PETR4,27.47,26.6,0
2023-01-25,PETR4,26.55,26.94,1
2023-01-26,PETR4,27.09,26.2,0
2023-01-27,PETR4,26.18,25.62,0
2023-01-30,PETR4,25.85,25.75,0
2023-01-31,PETR4,25.63,26.07,1
2023-02-01,PETR4,26.07,25.71,0
2023-02-02,PETR4,25.51,24.52,0
2023-02-03,PETR4,24.54,24.79,1
2023-02-06,PETR4,24.87,25.78,1
2023-02-07,PETR4,25.91,25.62,0
2023-02-08,PETR4,25.8,26.05,1
2023-02-09,PETR4,26.05,25.93,0
2023-02-10,PETR4,25.98,26.72,1
2023-02-13,PETR4,26.69,26.8,1
2023-02-14,PETR4,26.85,26.7,0
2023-02-15,PETR4,26.58,26.74,1
2023-02-16,PETR4,26.6,26.85,1
2023-02-17,PETR4,26.67,26.44,0
2023-02-22,PETR4,26.0,25.76,0
2023-02-23,PETR4,25.77,26.55,1
2023-02-24,PETR4,26.67,25.97,0
2023-02-27,PETR4,25.84,26.15,1
2023-02-28,PETR4,26.21,25.24,0
2023-03-01,PETR4,25.31,25.3,0
2023-03-02,PETR4,25.42,24.64,0
2023-03-03,PETR4,24.83,25.7,1
2023-03-06,PETR4,25.7,25.96,1
2023-03-07,PETR4,25.72,25.1,0
2023-03-08,PETR4,25.15,25.42,1
2023-03-09,PETR4,25.35,25.31,0
2023-03-10,PETR4,25.16,24.98,0
2023-03-13,PETR4,24.55,24.19,0
2023-03-14,PETR4,24.28,23.76,0
2023-03-15,PETR4,23.33,23.34,1
2023-03-16,PETR4,23.4,23.26,0
2023-03-17,PETR4,23.1,23.51,1
2023-03-20,PETR4,23.51,22.93,0
2023-03-21,PETR4,23.2,23.4,1
2023-03-22,PETR4,23.39,23.33,0
2023-03-23,PETR4,23.37,22.8,0
2023-03-24,PETR4,22.71,22.79,1
2023-03-27,PETR4,23.11,23.18,1
2023-03-28,PETR4,23.22,23.59,1
2023-03-29,PETR4,23.71,23.9,1
2023-03-30,PETR4,24.25,23.97,0
2023-03-31,PETR4,24.0,23.45,0
2023-04-03,PETR4,24.09,24.49,1
2023-04-04,PETR4,24.63,24.27,0
2023-04-05,PETR4,24.19,24.35,1
2023-04-06,PETR4,24.34,24.0,0
2023-04-10,PETR4,24.03,24.51,1
2023-04-11,PETR4,24.7,25.66,1
2023-04-12,PETR4,25.98,25.85,0
2023-04-13,PETR4,25.85,26.03,1
2023-04-14,PETR4,25.8,26.3,1
